key,trades,profit_mean,profit_mean_pct,profit_total_abs,profit_total,profit_total_pct,duration_avg,wins,draws,losses,winrate,cagr,expectancy,expectancy_ratio,sortino,sharpe,calmar,sqn,profit_factor,max_drawdown_account,max_drawdown_abs,period
force_exit,1,-0.063233061035912,-6.32,-45.83301762,-0.4583301762,-45.83,9:00:00,0,0,1,0.0,-0.7056091647517844,-45.83301762,-1.0,-100.0,-100.0,-10.439876051662731,-100.0,0.0,0.4583301762,45.83301762,2022-07-01 00:00:00 to 2022-12-31 00:00:00
stop_loss,41,-0.255097929698807,-25.51,-2921.3336234000003,-29.213336234000003,-2921.33,4:50:00,0,0,41,0.0,0.0,-71.25203959512196,-1.0,-6.135693449770465,-6.135693449770465,-10.439876051662733,-9.066,0.0,29.213336234,2921.3336234,2022-07-01 00:00:00 to 2022-12-31 00:00:00
timeout_exit,257,-0.07923736463248597,-7.92,-5256.65440755,-52.5665440755,-5256.65,5:53:00,1,0,256,0.0038910505836575876,0.0,-20.45390820058366,-0.9961056467025665,-25.704298815207597,-25.70815182696906,-10.43987605166273,-15.3307,3.3156150015838367e-06,52.566544075500005,5256.6544075500005,2022-07-01 00:00:00 to 2022-12-31 00:00:00
TOTAL,2484,0.008070233313763145,0.81,3538.9766603499993,35.38976660349999,3538.98,1:25:00,1732,0,752,0.6972624798711755,1297.4600701306208,1.4247088004629633,0.0889965807288613,15.621664416002785,18.469832163026062,1258.074115908471,3.549,1.293972748045866,0.2936748893931563,1011.4503846700009,2022-07-01 00:00:00 to 2022-12-31 00:00:00
roi,955,0.04290417710171158,4.29,23153.043335449995,231.53043335449993,23153.04,1:19:00,955,0,0,1.0,62905.4463287988,24.244024435026173,100.0,-100.0,63.826376981690956,-100.0,19.449,0.0,0.0,0.0,2023-01-01 00:00:00 to 2023-06-30 00:00:00
trailing_stop_loss,1201,0.008317242580019778,0.83,4726.45547835,47.264554783499996,4726.46,0:30:00,769,0,432,0.6402997502081599,2593.323094232519,3.9354333708159857,0.16407298736281262,15.421031997074023,15.125170901235755,1721.9944909405829,4.1103,1.4561380968118935,0.2913249903579503,1292.1510850999998,2023-01-01 00:00:00 to 2023-06-30 00:00:00
exit_signal,6,0.013613661949862544,1.36,50.96703048,0.5096703048,50.97,1:00:00,6,0,0,1.0,1.3053303756898997,8.49450508,100.0,-100.0,0.580367070774725,-100.0,2.0378,0.0,0.0,0.0,2023-01-01 00:00:00 to 2023-06-30 00:00:00
stop_loss,23,-0.2549673441838085,-25.5,-2823.87681557,-28.2387681557,-2823.88,2:18:00,0,0,23,0.0,0.0,-122.77725285086956,-1.0,-2.190596658502781,-2.190596658502781,-10.613873985857111,-4.2089,0.0,28.2387681557,2823.87681557,2023-01-01 00:00:00 to 2023-06-30 00:00:00
timeout_exit,325,-0.06276434583119651,-6.28,-15042.88778081,-150.4288778081,-15042.89,6:16:00,5,0,320,0.015384615384615385,0.0,-46.285808556338466,-0.9839855435374395,-27.513875162035927,-27.577064445062643,-10.613873985857115,-14.3901,0.0006396823447879775,150.42887780809994,15042.887780809995,2023-01-01 00:00:00 to 2023-06-30 00:00:00
TOTAL,2510,0.009873114793255389,0.99,10063.7012479,100.637012479,10063.7,1:34:00,1735,0,775,0.6912350597609562,11744.059553588953,4.009442728247013,0.1100391768712019,19.869378843772473,22.143612028660556,3777.622321071949,4.1634,1.356384947028021,0.282756844909296,2918.0606769700016,2023-01-01 00:00:00 to 2023-06-30 00:00:00
roi,973,0.03725944249950203,3.73,2362.9521950299995,23.629521950299996,2362.95,1:34:00,973,0,0,1.0,595.0852566094087,2.428522297050359,100.0,-100.0,72.0613563398376,-100.0,22.1171,0.0,0.0,0.0,2023-07-01 00:00:00 to 2023-12-31 00:00:00
trailing_stop_loss,1141,0.007267219725627723,0.73,504.44588993,5.0444588993,504.45,0:32:00,736,0,405,0.6450482033304119,35.1780491930241,0.4421085801314637,0.18039577523384165,17.18933759614373,16.535995515841197,463.12534582174584,4.6871,1.508226122325465,0.11371333081102603,59.78762532000002,2023-07-01 00:00:00 to 2023-12-31 00:00:00
exit_signal,5,0.012239615901660636,1.22,2.15759838,0.0215759838,2.16,1:00:00,5,0,0,1.0,0.04349576226554075,0.431519676,100.0,-100.0,1.0864714034710947,-100.0,4.1628,0.0,0.0,0.0,2023-07-01 00:00:00 to 2023-12-31 00:00:00
stop_loss,30,-0.2546436861461744,-25.46,-703.8033719999999,-7.038033719999999,-703.8,3:08:00,0,0,30,0.0,0.0,-23.460112399999996,-1.0,-6.5208026714094185,-6.5208026714094185,-10.439876051662731,-11.212,0.0,7.03803372,703.803372,2023-07-01 00:00:00 to 2023-12-31 00:00:00
timeout_exit,385,-0.06392332149653002,-6.39,-1385.58295239,-13.855829523899999,-1385.58,6:24:00,4,0,381,0.01038961038961039,0.0,-3.598916759454546,-0.9894474930287807,-29.078970118524836,-29.147803891942935,-10.439876051662726,-14.2107,0.00016460678194083928,13.855829523900004,1385.5829523900004,2023-07-01 00:00:00 to 2023-12-31 00:00:00
TOTAL,2534,0.004876378838956478,0.49,780.1693589500001,7.801693589500001,780.17,1:51:00,1718,0,816,0.6779794790844514,75.55453570584783,0.3078805678571428,0.08151076223534792,13.57360128205667,16.272136344094783,304.5649242843177,3.0957,1.253122881745554,0.26742644202652055,203.26463584999948,2023-07-01 00:00:00 to 2023-12-31 00:00:00
roi,1069,0.04597325128489358,4.6,16019.53691514,160.1953691514,16019.54,1:05:00,1069,0,0,1.0,28266.739235284622,14.985535000130962,100.0,-100.0,63.365347486210645,-100.0,18.3524,0.0,0.0,0.0,2024-01-01 00:00:00 to 2024-06-30 00:00:00
trailing_stop_loss,1284,0.011117925618331253,1.11,4788.5046172,47.885046172,4788.5,0:26:00,877,0,407,0.6830218068535826,2547.8803674031387,3.729364966666666,0.26616940476630413,20.85228578574181,22.26525675675455,3566.9868315526255,5.8845,1.8397088838327622,0.1416988291929821,724.0863860300005,2024-01-01 00:00:00 to 2024-06-30 00:00:00
exit_signal,3,0.005691163701042615,0.57,5.23723953,0.0523723953,5.24,1:00:00,3,0,0,1.0,0.10842508196958867,1.74574651,100.0,-100.0,0.6541623305417148,-100.0,2.9215,0.0,0.0,0.0,2024-01-01 00:00:00 to 2024-06-30 00:00:00
stop_loss,76,-0.25504162126574326,-25.5,-4089.2207017499995,-40.8922070175,-4089.22,2:49:00,0,0,76,0.0,0.0,-53.805535549342096,-1.0,-6.407593008680669,-6.407593008680669,-10.555233798089942,-6.9174,0.0,40.892207017500006,4089.2207017500004,2024-01-01 00:00:00 to 2024-06-30 00:00:00
timeout_exit,298,-0.06271869867455958,-6.27,-6621.3960366,-66.213960366,-6621.4,5:20:00,5,0,293,0.016778523489932886,0.0,-22.219449787248323,-0.9830875382550601,-20.868146314125084,-20.96421920515978,-10.55523379808994,-11.4861,0.00013622389075793463,66.21396036600002,6621.396036600002,2024-01-01 00:00:00 to 2024-06-30 00:00:00
TOTAL,2730,0.009291047687683686,0.93,10102.66203352,101.02662033520001,10102.66,1:17:00,1954,0,776,0.7157509157509158,11237.81688888669,3.7006088034871816,0.17495160542490873,29.48449140847052,33.99223509306138,12069.247509863673,6.1624,1.6154869623840216,0.08835344511722162,834.0706563699987,2024-01-01 00:00:00 to 2024-06-30 00:00:00
roi,1256,0.04699612519434512,4.7,274687.50849225,2746.8750849225,274687.51,1:05:00,1256,0,0,1.0,7231053.57682266,218.7002456148487,100.0,-100.0,49.43589984161793,-100.0,13.3561,0.0,0.0,0.0,2024-07-01 00:00:00 to 2024-12-31 00:00:00
trailing_stop_loss,1322,0.008682756908985043,0.87,8203.76400518,82.03764005180001,8203.76,0:27:00,886,0,436,0.670196671709531,6729.729766870747,6.205570351875934,0.04172963314917699,1.6755617012752484,2.4583727249435476,688.7445311687178,0.6474,1.126528841796358,1.2435130225403002,22580.94201417,2024-07-01 00:00:00 to 2024-12-31 00:00:00
exit_signal,3,0.017191300900122095,1.72,8.17306533,0.0817306533,8.17,1:00:00,3,0,0,1.0,0.16963897046575305,2.72435511,100.0,-100.0,0.32969457546680037,-100.0,1.4887,0.0,0.0,0.0,2024-07-01 00:00:00 to 2024-12-31 00:00:00
force_exit,1,-0.06812338730930556,-6.81,-1902.15857179,-19.0215857179,-1902.16,2:00:00,0,0,1,0.0,0.0,-1902.15857179,-1.0,-100.0,-100.0,-10.439876051662733,-100.0,0.0,19.0215857179,1902.15857179,2024-07-01 00:00:00 to 2024-12-31 00:00:00
timeout_exit,284,-0.07119552989984175,-7.12,-45726.16559838,-457.2616559838,-45726.17,5:12:00,4,0,280,0.014084507042253521,0.0,-161.00762534640847,-0.9859092223358327,-14.761488941086592,-14.839904153920953,-10.439876051662733,-8.42,6.36020222688006e-06,457.2616559838,45726.16559838,2024-07-01 00:00:00 to 2024-12-31 00:00:00
stop_loss,45,-0.25478995824609074,-25.48,-96179.87747712,-961.7987747712,-96179.88,2:04:00,0,0,45,0.0,0.0,-2137.3306106026666,-1.0,-2.8201436038108048,-2.8201436038108048,-10.439876051662733,-3.9819,0.0,961.7987747712,96179.87747712,2024-07-01 00:00:00 to 2024-12-31 00:00:00
